"","N","%Valid","%Cum.Valid","%Total","%Cum.Total"
"Tibacuy-25805",0,0,82.64,0,82.64
"Tibana-15804",0,0,82.64,0,82.64
"Tibasosa-15806",0,0,82.64,0,82.64
"Tibirita-25807",0,0,82.64,0,82.64
"Tibu-54810",0,0,82.64,0,82.64
"Tierralta-23807",0,0,82.64,0,82.64
"Timana-41807",0,0,82.64,0,82.64
"Timbio-19807",0,0,82.64,0,82.64
"Timbiqui-19809",0,0,82.64,0,82.64
"Tipacoque-15810",0,0,82.64,0,82.64
"Tiquisio-13810",0,0,82.64,0,82.64
"Titiribi-5809",357,0.04,82.69,0.04,82.69
"Toca-15814",0,0,82.69,0,82.69
"Tocaima-25815",0,0,82.69,0,82.69
"Tocancipa-25817",0,0,82.69,0,82.69
"Togui-15816",0,0,82.69,0,82.69
"Toledo-54820",0,0,82.69,0,82.69
"Toledo-5819",2476,0.31,83,0.31,83
"Tolu Viejo-70823",0,0,83,0,83
"Tona-68820",0,0,83,0,83
"Topaga-15820",0,0,83,0,83
"Topaipi-25823",0,0,83,0,83
"Toribio-19821",0,0,83,0,83
"Toro-76823",0,0,83,0,83
"Tota-15822",0,0,83,0,83
"Totoro-19824",0,0,83,0,83
"Trinidad-85430",0,0,83,0,83
"Trujillo-76828",0,0,83,0,83
"Tubara-8832",0,0,83,0,83
"Tuchin-23815",0,0,83,0,83
"Tulua-76834",0,0,83,0,83
"Tunja-15001",0,0,83,0,83
"Tunungua-15832",0,0,83,0,83
"Tuquerres-52838",0,0,83,0,83
"Turbaco-13836",0,0,83,0,83
"Turbana-13838",0,0,83,0,83
"Turbo-5837",53168,6.7,89.7,6.7,89.7
"Turmeque-15835",0,0,89.7,0,89.7
"Tuta-15837",0,0,89.7,0,89.7
"Tutaza-15839",0,0,89.7,0,89.7
"Ubala-25839",0,0,89.7,0,89.7
"Ubaque-25841",0,0,89.7,0,89.7
"Ulloa-76845",0,0,89.7,0,89.7
"Umbita-15842",0,0,89.7,0,89.7
"Une-25845",0,0,89.7,0,89.7
"Unguia-27800",0,0,89.7,0,89.7
"Union Panamericana-27810",0,0,89.7,0,89.7
"Uramita-5842",4817,0.61,90.31,0.61,90.31
"Uribe-50370",0,0,90.31,0,90.31
"Uribia-44847",0,0,90.31,0,90.31
"Urrao-5847",25727,3.24,93.55,3.24,93.55
"Urumita-44855",0,0,93.55,0,93.55
"Usiacuri-8849",0,0,93.55,0,93.55
"Utica-25851",0,0,93.55,0,93.55
"Valdivia-5854",5854,0.74,94.29,0.74,94.29
"Valencia-23855",0,0,94.29,0,94.29
"Valle De San Jose-68855",0,0,94.29,0,94.29
"Valle De San Juan-73854",0,0,94.29,0,94.29
"Valle del Guamuez-86865",0,0,94.29,0,94.29
"Valledupar-20001",0,0,94.29,0,94.29
"Valparaiso-18860",0,0,94.29,0,94.29
"Valparaiso-5856",261,0.03,94.32,0.03,94.32
"Vegachi-5858",3804,0.48,94.8,0.48,94.8
"Velez-68861",0,0,94.8,0,94.8
"Venadillo-73861",0,0,94.8,0,94.8
"Venecia-25506",0,0,94.8,0,94.8
"Venecia-5861",553,0.07,94.87,0.07,94.87
"Ventaquemada-15861",0,0,94.87,0,94.87
"Vergara-25862",0,0,94.87,0,94.87
"Versalles-76863",0,0,94.87,0,94.87
"Vetas-68867",0,0,94.87,0,94.87
"Viani-25867",0,0,94.87,0,94.87
"Victoria-17867",0,0,94.87,0,94.87
"Vigia Del Fuerte-5873",8184,1.03,95.9,1.03,95.9
"Vijes-76869",0,0,95.9,0,95.9
"Villa Caro-54871",0,0,95.9,0,95.9
"Villa De Leyva-15407",0,0,95.9,0,95.9
"Villa De San Diego De Ubate-25843",0,0,95.9,0,95.9
"Villa Del Rosario-54874",0,0,95.9,0,95.9
"Villa Rica-19845",0,0,95.9,0,95.9
"Villagarzon-86885",0,0,95.9,0,95.9
"Villagomez-25871",0,0,95.9,0,95.9
"Villahermosa-73870",0,0,95.9,0,95.9
"Villamaria-17873",0,0,95.9,0,95.9
"Villanueva-13873",0,0,95.9,0,95.9
"Villanueva-44874",0,0,95.9,0,95.9
"Villanueva-68872",0,0,95.9,0,95.9
"Villanueva-85440",0,0,95.9,0,95.9
"Villapinzon-25873",0,0,95.9,0,95.9
"Villarrica-73873",0,0,95.9,0,95.9
"Villavicencio-50001",0,0,95.9,0,95.9
"Villavieja-41872",0,0,95.9,0,95.9
"Villeta-25875",0,0,95.9,0,95.9
"Viota-25878",0,0,95.9,0,95.9
"Viracacha-15879",0,0,95.9,0,95.9
"Vistahermosa-50711",0,0,95.9,0,95.9
"Viterbo-17877",0,0,95.9,0,95.9
"Yacopi-25885",0,0,95.9,0,95.9
"Yacuanquer-52885",0,0,95.9,0,95.9
"Yaguara-41885",0,0,95.9,0,95.9
"Yali-5885",1285,0.16,96.06,0.16,96.06
"Yarumal-5887",4873,0.61,96.68,0.61,96.68
"Yavarate-97889",0,0,96.68,0,96.68
"Yolombo-5890",4324,0.54,97.22,0.54,97.22
"Yondo-5893",12153,1.53,98.75,1.53,98.75
"Yopal-85001",0,0,98.75,0,98.75
"Yotoco-76890",0,0,98.75,0,98.75
"Yumbo-76892",0,0,98.75,0,98.75
"Zambrano-13894",0,0,98.75,0,98.75
"Zapatoca-68895",0,0,98.75,0,98.75
"Zapayan-47960",0,0,98.75,0,98.75
"Zaragoza-5895",9912,1.25,100,1.25,100
"Zarzal-76895",0,0,100,0,100
"Zetaquira-15897",0,0,100,0,100
"Zipaquira-25899",0,0,100,0,100
"Zona Bananera-47980",0,0,100,0,100
"<NA>",0,NA,NA,0,100
"Total",793658,100,100,100,100
